"Postal.Code" "Place.Name" "State" "State.Abbreviation" "County" "Latitude" "Longitude"
"43670" "00685" "SAN SEBASTIAN" "Puerto Rico" "PR" NA "18.33" "-66.99"
"43671" "00687" "MOROVIS" "Puerto Rico" "PR" NA "18.32" "-66.40"
"43672" "00688" "SABANA HOYOS" "Puerto Rico" "PR" NA "18.38" "-66.62"
"43673" "00690" "SAN ANTONIO" "Puerto Rico" "PR" NA "18.49" "-67.09"
"43674" "00692" "VEGA ALTA" "Puerto Rico" "PR" NA "18.41" "-66.32"
"43675" "00693" "VEGA BAJA" "Puerto Rico" "PR" NA "18.44" "-66.39"
"43676" "00694" "VEGA BAJA" "Puerto Rico" "PR" NA "18.44" "-66.39"
"43677" "00698" "YAUCO" "Puerto Rico" "PR" NA "18.03" "-66.86"
"43678" "00703" "AGUAS BUENAS" "Puerto Rico" "PR" NA "18.25" "-66.10"
"43679" "00704" "AGUIRRE" "Puerto Rico" "PR" NA "17.96" "-66.22"
"43680" "00705" "AIBONITO" "Puerto Rico" "PR" NA "18.14" "-66.26"
"43681" "00707" "MAUNABO" "Puerto Rico" "PR" NA "18.00" "-65.90"
"43682" "00714" "ARROYO" "Puerto Rico" "PR" NA "17.97" "-66.06"
"43683" "00715" "MERCEDITA" "Puerto Rico" "PR" NA "18.00" "-66.56"
"43684" "00716" "PONCE" "Puerto Rico" "PR" NA "17.98" "-66.60"
"43685" "00717" "PONCE" "Puerto Rico" "PR" NA "17.98" "-66.60"
"43686" "00718" "NAGUABO" "Puerto Rico" "PR" NA "18.21" "-65.73"
"43687" "00719" "NARANJITO" "Puerto Rico" "PR" NA "18.30" "-66.24"
"43688" "00720" "OROCOVIS" "Puerto Rico" "PR" NA "18.22" "-66.39"
"43689" "00721" "PALMER" "Puerto Rico" "PR" NA "18.37" "-65.77"
"43690" "00723" "PATILLAS" "Puerto Rico" "PR" NA "18.00" "-66.01"
"43691" "00725" "CAGUAS" "Puerto Rico" "PR" NA "18.23" "-66.03"
"43692" "00726" "CAGUAS" "Puerto Rico" "PR" NA "18.23" "-66.03"
"43693" "00727" "CAGUAS" "Puerto Rico" "PR" NA "18.23" "-66.03"
"43694" "00728" "PONCE" "Puerto Rico" "PR" NA "17.98" "-66.60"
"43695" "00729" "CANOVANAS" "Puerto Rico" "PR" NA "18.37" "-65.90"
"43696" "00730" "PONCE" "Puerto Rico" "PR" NA "17.98" "-66.60"
"43697" "00731" "PONCE" "Puerto Rico" "PR" NA "17.98" "-66.60"
"43698" "00732" "PONCE" "Puerto Rico" "PR" NA "17.98" "-66.60"
"43699" "00733" "PONCE" "Puerto Rico" "PR" NA "17.98" "-66.60"
